OrderID,OrderDate,ShipDate,Region,Country,CustomerName,Product,Category,Quantity,UnitPrice,Sales,Profit
SO044,02-05-2025,02-09-2025,EMEA,IN,Singapore Ltd,Tablet,Electronics,10,25,800,240.0
SO045,04-28-2025,04-29-2025,LATAM,Brazil,Aus Corp,Tablet,Electronics,3,300,500,-150.0
SO046,01-13-2025,01-18-2025,APAC,India,Bangalore Tech,Chair,Furniture,3,150,3000,900.0
SO047,invalid_date,2025/03/23,LATAM,India ,London Traders,Desk Chair,Furniture,5,150,500,125.0
SO048,10-23-2025,10-26-2025,apac,India,Paris Solutions,Laptop,Electronics,1,50,800,160.0
SO049,2025/01/15,2025/01/22,EMEA,IN,Santiago Shop,Tablet,Electronics,8,800,500,150.0
SO050,10/21/2025,10/25/2025,apac,India ,Santiago Shop,Monitor,Electronics,,100,2400,600.0
SO051,07/02/2025,13/02/2025,EMEA,IN,Aus Corp,Chair,Furniture,1,$300,2400,360.0
SO052,02/20/2025,02/23/2025,APAC,India ,Tech GmbH,Printer,Electronics,10,25,2400,240.0
SO053,11/09/2025,,LATAM,Brazil,Aus Corp,Tablet,Electronics,2,,800,80.0
SO054,12/10/2025,12/16/2025,North America,IN,Tech Solutions,Phone,Electronics,1,$25,250,25.0
SO055,30/07/2025,04/08/2025,apac,Australia,Tech Solutions,Laptop,Electronics,20,600,800,200.0
SO056,2025/12/25,2025/12/31,North America,IN,Acme Corp,Desk,Office Supplies,2,10,800,240.0
SO057,2025/08/17,2025/08/19,EMEA,France,Maple Inc,Monitor,Electronics,8,800,250,-75.0
SO058,02/05/2025,02/12/2025,apac,IN,Mexico Retail,Printer,Electronics,3,200,3000,300.0
SO059,12-08-2025,12-11-2025,Asia Pacific,India,Tech Solutions,Keyboard,Electronics,1,,3000,750.0
SO060,2025/04/08,2025/04/13,North America,IN,Bangalore Tech,Tablet,Electornics,8,$300,800,80.0
SO061,04-08-2025,04-10-2025,apac,India,Aus Corp,Phone,Electronics,2,50,2400,600.0
SO062,09-24-2025,09-27-2025,EMEA,Germany,Paris Solutions,Chair,Furniture,8,300,1200,240.0
SO063,20/07/2025,21/07/2025,APAC,India,Santiago Shop,Chair,Furniture,10 units,300,500,125.0
SO064,11/01/2025,11/02/2025,LATAM,Chile,London Traders,Phone,Electronics,8,600,800,-120.0
SO065,15/10/2025,17/10/2025,apac,Singapore,Paris Solutions,Phone,Electronics,3,50,3000,750.0
SO066,04/13/2025,04/17/2025,LATAM,India ,Tech Solutions,Keyboard,Electronics,2,200,2400,240.0
SO067,18/04/2025,20/04/2025,Asia Pacific,Australia,Paris Solutions,Mouse,Electronics,10 units,200,2400,600.0
SO068,08/27/2025,09/03/2025,LATAM,India ,Acme Corp,Laptop,Electronics,10,50,250,75.0
SO069,11/01/2025,11/03/2025,apac,India ,Tech GmbH,Tablet,Electronics,20,100,1200,300.0
SO070,04/03/2025,06/03/2025,EMEA,Germany,Bangalore Tech,Printer,Electornics,2,600,250,25.0
SO071,2025/03/02,2025/03/08,APAC,Australia,Global Traders,Tablet,Electronics,8,$25,800,160.0
SO072,invalid_date,08-15-2025,apac,Australia,Mexico Retail,Mouse,Electronics,,$300,1200,360.0
SO073,10-28-2025,10-31-2025,North America,Mexico,Santiago Shop,Laptop,Electronics,3,200,2400,480.0
SO074,2025/12/22,2025/12/27,EMEA,India ,Aus Corp,Desk Chair,Electornics,,800 USD,,900.0
SO075,08/12/2025,08/13/2025,North America,IN,London Traders,Keyboard,Electronics,3,50,1200,-360.0
SO076,invalid_date,12-19-2025,LATAM,Brazil,Aus Corp,Tablet,Electronics,10 units,50,1200,240.0
SO077,invalid_date,01/14/2025,EMEA,France,Aus Corp,Desk,Office Supplies,10,40,2400,720.0
SO078,24/06/2025,27/06/2025,APAC,IN,London Traders,Phone,Electronics,8,600,250,37.5
SO079,06-12-2025,06-14-2025,LATAM,Chile,London Traders,Desk Chair,Furniture,8,$200,1200,360.0
SO080,2025/02/15,,APAC,IN,Maple Inc,Monitor,Electronics,1,600,800,240.0
SO081,16/11/2025,19/11/2025,apac,India,Acme Corp,Tablet,Electronics,3,1200,3000,750.0
SO082,invalid_date,08-31-2025,apac,India,Santiago Shop,Monitor,Electronics,20,800,500,75.0
SO083,2025/11/13,2025/11/14,APAC,Singapore,Rio Mart,Chair,Furniture,5,250 USD,,75.0
SO084,07/07/2025,11/07/2025,LATAM,India ,Bangalore Tech,Keyboard,Electronics,20,300,800,200.0
SO085,05/30/2025,06/02/2025,LATAM,Argentina,Global Traders,Keyboard,Electronics,N/A,800,500,150.0
SO086,08-08-2025,08-10-2025,APAC,Australia,Bangalore Tech,Monitor,Electornics,2,200,500,100.0
SO087,2025/09/25,2025/10/02,APAC,Australia,Aus Corp,Chair,Furniture,10,200,2400,720.0
SO088,21/04/2025,23/04/2025,Asia Pacific,India,Mexico Retail,Desk Chair,Furniture,2,250,1200,360.0
SO089,2025/01/10,2025/01/15,North America,IN,,Desk Chair,Furniture,5,150,1200,120.0
SO090,07/23/2025,07/27/2025,Asia Pacific,IN,Mexico Retail,Monitor,Electronics,2,300,800,240.0
SO091,28/06/2025,30/06/2025,EMEA,France,,Mouse,Electronics,8,800,1200,300.0
SO092,11-04-2025,11-06-2025,apac,India,Paris Solutions,Chair,Furniture,10,250,500,100.0
SO093,25/05/2025,29/05/2025,EMEA,UK,,Monitor,Electronics,3,600,3000,750.0
SO094,03/04/2025,03/09/2025,APAC,India ,Santiago Shop,Desk Chair,Furniture,2,300,500,150.0
SO095,11/27/2025,11/28/2025,apac,India,Rio Mart,Printer,Electronics,8,300,800,-200.0
SO096,20/04/2025,23/04/2025,apac,Singapore,London Traders,Mouse,Electronics,8,25,1200,300.0
SO097,22/11/2025,27/11/2025,apac,Australia,Paris Solutions,Phone,Electronics,1,100,800,120.0
SO098,21/02/2025,24/02/2025,North America,IN,,Mouse,Electronics,8,25,500,150.0
SO099,29/08/2025,02/09/2025,LATAM,Brazil,Rio Mart,Chair,Furniture,20,200,250,37.5
SO100,05/01/2025,05/02/2025,North America,Mexico,Tech GmbH,Monitor,Electronics,3,800,500,50.0
